Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,Preferred Foot,Height
92,94,€525K,92,93,190lbs,€83M,29,91,86,89,84,Right,6'0
86,76,€130K,86,87,143lbs,€37.5M,28,85,80,94,76,Right,5'9
87,77,€180K,87,89,165lbs,€41.5M,29,83,76,93,80,Right,5'11
86,63,€140K,89,84,168lbs,€41.5M,24,83,79,87,78,Left,5'11
88,71,€225K,94,86,185lbs,€71.5M,23,90,89,91,87,Right,6'3
90,87,€375K,90,87,163lbs,€72M,26,88,89,78,79,Left,6'0
82,76,€70K,85,79,148lbs,€20.5M,25,83,79,92,75,Right,5'8
83,70,€100K,83,80,154lbs,€14.5M,31,79,78,86,76,Left,5'7
89,71,€325K,89,88,143lbs,€54M,30,92,86,83,90,Right,5'9
94,93,€575K,94,96,176lbs,€87M,31,93,92,92,85,Right,6'1
86,63,€190K,86,86,161lbs,€35M,30,85,84,83,84,Right,5'11
81,69,€2K,81,78,159lbs,€4.8M,34,83,72,81,86,Right,5'10
86,73,€225K,86,82,150lbs,€31.5M,27,84,80,90,68,Left,5'7
84,60,€140K,84,82,150lbs,€12.5M,33,85,84,75,78,Right,5'8
82,73,€70K,82,81,134lbs,€18.5M,29,82,81,85,82,Right,5'7
84,71,€170K,84,85,161lbs,€29.5M,26,86,81,88,86,Right,6'0
80,59,€60K,83,81,170lbs,€15.5M,23,80,77,76,74,Left,5'11
83,75,€70K,83,83,165lbs,€24M,26,84,84,88,81,Right,5'11
86,67,€250K,86,85,165lbs,€30M,28,87,83,82,75,Left,5'9
81,75,€40K,87,79,159lbs,€20M,21,80,81,79,83,Right,5'11
81,75,€40K,88,82,172lbs,€23.5M,21,78,77,86,79,Right,5'11
77,67,€60K,77,78,168lbs,€5.5M,27,78,82,84,72,Left,5'11
84,82,€190K,84,82,198lbs,€18M,33,82,79,74,85,Right,6'2
82,58,€120K,82,85,172lbs,€14M,30,81,82,89,71,Right,5'11
82,67,€110K,84,79,148lbs,€20M,26,80,74,93,82,Right,6'0
80,67,€50K,80,74,165lbs,€11.5M,31,80,78,91,81,Right,6'0
80,55,€120K,80,79,183lbs,€10M,30,74,78,77,76,Left,6'2
82,66,€110K,82,80,194lbs,€19M,28,86,86,82,77,Left,6'1
83,71,€20K,83,77,152lbs,€23M,27,85,82,89,85,Right,5'9
88,85,€275K,88,87,137lbs,€55M,27,86,89,85,82,Right,5'7
84,57,€140K,87,80,179lbs,€29.5M,25,81,82,93,70,Left,5'11
84,70,€170K,84,86,196lbs,€26.5M,29,81,78,79,80,Right,6'2
85,65,€120K,85,84,154lbs,€25M,29,77,73,94,75,Left,5'9
86,69,€170K,88,84,154lbs,€46M,25,91,90,74,85,Right,5'9
86,78,€130K,86,87,174lbs,€37.5M,28,86,85,85,86,Right,6'0
85,70,€160K,86,84,154lbs,€37.5M,26,89,86,79,88,Right,5'11
82,70,€130K,82,82,148lbs,€13M,31,76,78,82,75,Right,5'10
81,72,€0,81,81,165lbs,€0,27,81,77,92,75,Right,5'11
81,68,€30K,87,82,174lbs,€23M,21,81,79,86,78,Right,6'2
80,68,€110K,80,84,154lbs,€10M,30,78,77,91,77,Right,5'9
84,68,€100K,85,84,172lbs,€32.5M,26,85,76,79,84,Left,6'1
78,74,€30K,86,72,165lbs,€12.5M,21,81,80,85,76,Right,5'11
81,76,€110K,84,82,163lbs,€20.5M,25,84,85,87,76,Right,5'9
82,78,€20K,82,83,146lbs,€20.5M,26,82,83,86,84,Right,5'8
84,72,€225K,84,81,168lbs,€26.5M,29,88,87,73,86,Right,5'9
81,69,€40K,84,77,143lbs,€21M,24,84,78,78,84,Right,5'6
88,84,€140K,88,87,168lbs,€52M,27,85,86,73,86,Right,6'0
82,69,€70K,82,84,163lbs,€18.5M,29,82,80,78,83,Right,5'8
78,59,€60K,78,79,165lbs,€5.5M,31,82,81,74,69,Left,5'8
82,82,€130K,82,82,183lbs,€18.5M,30,80,76,82,81,Right,5'9
80,73,€30K,80,73,190lbs,€14M,29,83,79,70,76,Right,6'1
86,77,€200K,86,83,165lbs,€39M,27,89,87,85,85,Right,5'10
79,72,€100K,79,79,201lbs,€10.5M,26,78,78,88,68,Right,6'2
80,63,€110K,80,78,165lbs,€14M,27,81,82,85,76,Left,5'8
80,50,€20K,84,80,157lbs,€15.5M,23,78,79,86,67,Left,5'11
81,70,€60K,81,82,165lbs,€14M,31,79,75,88,78,Right,6'0
85,69,€180K,87,87,176lbs,€39M,25,88,87,73,87,Right,5'11
81,83,€50K,81,84,176lbs,€17M,27,82,78,82,81,Right,5'11
