Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,PreferredFoot,Height
64,21,17,64,66,24,95,26,56,45,74,33,1,9
69,54,33,69,68,18,155,27,68,72,70,59,0,0
65,62,22,74,63,20,155,21,66,67,73,57,0,10
72,71,8,75,67,13,48,24,73,72,72,69,0,1
68,12,25,71,67,44,157,27,20,19,35,14,1,12
62,55,17,67,64,25,88,25,64,54,67,51,0,0
66,26,25,76,65,25,158,22,48,46,64,39,1,11
61,45,13,75,50,20,125,20,72,72,75,47,1,9
57,32,25,75,54,23,52,16,49,46,52,36,1,12
70,42,2,82,61,28,9,19,65,64,68,53,0,11
65,49,17,65,74,18,98,30,54,45,72,47,1,9
70,44,14,70,58,28,41,29,55,31,55,48,1,12
68,48,33,74,58,20,2,21,73,72,60,74,1,0
74,54,19,74,76,24,79,24,66,61,84,77,1,1
66,46,22,69,61,15,138,25,57,61,65,56,1,6
82,75,36,82,73,29,54,27,85,84,79,81,1,13
64,31,17,71,53,26,127,22,59,43,58,51,1,9
67,28,25,70,61,19,149,25,54,58,71,51,1,1
64,25,33,68,53,29,121,23,58,40,65,48,0,9
57,31,22,64,54,26,24,21,49,47,56,49,1,9
72,62,14,82,59,13,82,20,77,78,65,57,0,8
68,63,31,68,68,11,157,28,69,68,84,66,1,6
72,75,14,72,69,19,43,27,74,67,68,70,1,10
69,65,35,70,70,21,2,24,70,68,53,72,1,12
63,24,25,71,58,23,115,21,49,37,63,36,0,10
69,64,29,69,70,16,165,29,67,69,67,65,0,7
62,39,17,72,59,18,118,20,62,60,66,63,1,8
59,15,29,59,51,46,21,29,22,13,17,33,1,15
69,65,26,69,58,23,1,24,73,74,65,66,1,1
75,79,2,75,75,27,43,34,71,67,68,72,1,11
56,51,17,59,39,22,21,23,58,57,71,47,0,9
64,64,33,82,58,10,155,17,63,70,72,53,1,9
66,38,22,69,55,17,139,24,62,52,74,44,1,9
62,66,22,81,54,19,130,17,63,55,46,46,1,1
62,32,13,66,57,30,93,24,48,42,59,34,1,11
75,41,23,75,74,28,44,32,60,59,69,38,0,11
64,46,22,64,55,28,98,26,61,55,65,58,1,10
74,56,19,74,73,23,43,31,70,61,77,69,0,1
82,51,1,83,77,29,40,26,75,75,90,69,1,9
75,76,30,75,75,36,122,29,73,65,63,55,1,13
66,36,13,80,62,21,1,19,63,45,68,43,0,12
63,17,17,68,49,31,98,23,29,29,64,33,1,11
71,17,35,78,68,21,78,24,56,42,68,13,1,11
68,73,33,71,69,23,1,24,60,55,59,49,1,1
70,32,2,83,67,21,9,18,68,67,75,46,1,0
72,24,0,73,64,16,0,26,64,57,81,49,1,9
59,42,0,63,55,18,0,22,57,52,58,52,1,11
70,37,14,75,66,17,5,24,53,39,70,45,1,12
56,60,25,57,48,10,18,26,55,52,60,35,1,0
70,65,2,73,69,21,7,25,68,67,73,66,1,1
63,11,26,63,56,26,39,35,22,11,33,53,1,9
74,73,14,76,67,38,104,24,73,63,60,65,0,1
67,60,2,73,59,11,41,22,66,74,66,64,1,5
54,29,13,70,48,16,18,17,45,54,60,38,0,0
51,15,26,63,44,31,126,17,31,24,61,30,1,9
68,30,22,69,65,13,41,24,69,68,92,67,1,7
73,31,35,73,70,26,42,30,55,45,62,42,1,10
60,7,29,70,59,28,74,20,15,10,28,50,1,11
63,47,17,74,56,19,125,20,58,60,75,51,1,0
73,73,8,79,69,18,122,22,74,76,69,71,1,0
59,34,22,75,63,15,74,18,51,53,53,46,1,1
60,37,22,70,59,18,74,19,58,57,68,53,1,8
83,71,5,83,78,17,58,28,85,90,83,70,1,0
73,78,14,74,71,22,82,26,73,71,79,42,0,9
60,15,13,67,61,26,62,20,29,9,41,54,1,11
67,14,31,67,60,28,127,33,20,14,35,31,1,9
73,65,33,76,68,10,85,24,63,77,58,72,1,5
74,76,37,74,69,31,101,31,70,69,63,68,1,10
75,55,27,75,73,27,79,28,70,72,88,66,0,0
60,9,17,66,57,29,59,21,13,7,28,25,1,11
69,59,33,72,65,19,3,24,70,67,75,67,1,0
64,13,22,64,55,25,95,30,19,14,42,51,1,10
70,70,14,70,59,26,3,29,75,71,55,58,1,9
48,26,13,64,54,14,137,17,43,40,54,43,0,7
66,57,17,71,60,16,144,24,62,63,74,39,1,0
76,35,19,76,71,30,102,28,61,56,61,48,1,13
49,18,26,64,43,26,137,16,29,20,62,28,1,11
57,34,17,71,60,16,52,18,56,57,60,37,0,8
56,56,17,67,59,12,34,20,56,48,57,58,1,0
65,58,31,72,56,14,147,22,69,68,59,50,1,8
76,35,14,80,74,14,142,24,70,74,88,52,1,8
69,32,29,74,70,14,1,23,64,62,71,41,0,0
69,29,25,71,68,17,41,25,65,67,83,49,1,6
67,47,22,81,52,8,6,20,69,71,69,71,1,6
64,56,22,67,56,18,118,23,62,65,62,40,0,0
65,26,29,68,62,26,127,25,62,66,81,50,0,9
79,80,23,92,75,14,35,17,81,84,76,77,1,0
67,38,29,67,63,21,121,31,57,49,62,34,1,9
62,66,17,70,62,14,95,17,60,60,55,49,1,0
