Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,Preferred Foot,Height
64,21,€2K,64,66,172lbs,€350K,26,56,45,74,33,Right,6'0
69,54,€7K,69,68,159lbs,€825K,27,68,72,70,59,Left,5'10
65,62,€3K,74,63,163lbs,€825K,21,66,67,73,57,Left,6'1
72,71,€15K,75,67,148lbs,€2.7M,24,73,72,72,69,Left,5'11
68,12,€4K,71,67,216lbs,€850K,27,20,19,35,14,Right,6'3
62,55,€2K,67,64,174lbs,€300K,25,64,54,67,51,Left,5'10
66,26,€4K,76,65,174lbs,€875K,22,48,46,64,39,Right,6'2
61,45,€1K,75,50,163lbs,€500K,20,72,72,75,47,Right,6'0
57,32,€4K,75,54,170lbs,€200K,16,49,46,52,36,Right,6'3
70,42,€10K,82,61,181lbs,€1.9M,19,65,64,68,53,Left,6'2
65,49,€2K,65,74,159lbs,€375K,30,54,45,72,47,Right,6'0
70,44,€20K,70,58,181lbs,€1M,29,55,31,55,48,Right,6'3
68,48,€7K,74,58,163lbs,€1.2M,21,73,72,60,74,Right,5'10
74,54,€30K,74,76,172lbs,€3.1M,24,66,61,84,77,Right,5'11
66,46,€3K,69,61,152lbs,€625K,25,57,61,65,56,Right,5'7
82,75,€90K,82,73,183lbs,€20M,27,85,84,79,81,Right,6'4
64,31,€2K,71,53,176lbs,€525K,22,59,43,58,51,Right,6'0
67,28,€4K,70,61,161lbs,€750K,25,54,58,71,51,Right,5'11
64,25,€7K,68,53,183lbs,€475K,23,58,40,65,48,Left,6'0
57,31,€3K,64,54,176lbs,€140K,21,49,47,56,49,Right,6'0
72,62,€20K,82,59,148lbs,€3.4M,20,77,78,65,57,Left,5'9
68,63,€6K,68,68,143lbs,€850K,28,69,68,84,66,Right,5'7
72,75,€20K,72,69,161lbs,€2.2M,27,74,67,68,70,Right,6'1
69,65,€8K,70,70,165lbs,€1.2M,24,70,68,53,72,Right,6'3
63,24,€4K,71,58,170lbs,€425K,21,49,37,63,36,Left,6'1
69,64,€5K,69,70,154lbs,€975K,29,67,69,67,65,Left,5'8
62,39,€2K,72,59,159lbs,€450K,20,62,60,66,63,Right,5'9
59,15,€5K,59,51,223lbs,€130K,29,22,13,17,33,Right,6'6
69,65,€500,69,58,170lbs,€1.1M,24,73,74,65,66,Right,5'11
75,79,€10K,75,75,179lbs,€2.2M,34,71,67,68,72,Right,6'2
56,51,€2K,59,39,168lbs,€130K,23,58,57,71,47,Left,6'0
64,64,€7K,82,58,141lbs,€825K,17,63,70,72,53,Right,6'0
66,38,€3K,69,55,157lbs,€650K,24,62,52,74,44,Right,6'0
62,66,€3K,81,54,161lbs,€550K,17,63,55,46,46,Right,5'11
62,32,€1K,66,57,185lbs,€325K,24,48,42,59,34,Right,6'2
75,41,€40K,75,74,181lbs,€2.3M,32,60,59,69,38,Left,6'2
64,46,€3K,64,55,181lbs,€375K,26,61,55,65,58,Right,6'1
74,56,€30K,74,73,170lbs,€2.2M,31,70,61,77,69,Left,5'11
82,51,€100K,83,77,183lbs,€19M,26,75,75,90,69,Right,6'0
75,76,€60K,75,75,198lbs,€4M,29,73,65,63,55,Right,6'4
66,36,€1K,80,62,165lbs,€1.1M,19,63,45,68,43,Left,6'3
63,17,€2K,68,49,187lbs,€375K,23,29,29,64,33,Right,6'2
71,17,€8K,78,68,165lbs,€2M,24,56,42,68,13,Right,6'2
68,73,€7K,71,69,170lbs,€1.1M,24,60,55,59,49,Right,5'11
70,32,€10K,83,67,165lbs,€1.9M,18,68,67,75,46,Right,5'10
72,24,€0,73,64,154lbs,€0,26,64,57,81,49,Right,6'0
59,42,€0,63,55,159lbs,€0,22,57,52,58,52,Right,6'2
70,37,€20K,75,66,157lbs,€1.5M,24,53,39,70,45,Right,6'3
56,60,€4K,57,48,141lbs,€120K,26,55,52,60,35,Right,5'10
70,65,€10K,73,69,165lbs,€1.7M,25,68,67,73,66,Right,5'11
63,11,€500,63,56,176lbs,€190K,35,22,11,33,53,Right,6'0
74,73,€20K,76,67,203lbs,€4.3M,24,73,63,60,65,Left,5'11
67,60,€10K,73,59,143lbs,€1M,22,66,74,66,64,Right,5'6
54,29,€1K,70,48,154lbs,€120K,17,45,54,60,38,Left,5'10
51,15,€500,63,44,187lbs,€50K,17,31,24,61,30,Right,6'0
68,30,€3K,69,65,148lbs,€1M,24,69,68,92,67,Right,5'8
73,31,€8K,73,70,176lbs,€2.1M,30,55,45,62,42,Right,6'1
60,7,€5K,70,59,181lbs,€275K,20,15,10,28,50,Right,6'2
63,47,€2K,74,56,161lbs,€500K,20,58,60,75,51,Right,5'10
73,73,€15K,79,69,159lbs,€4M,22,74,76,69,71,Right,5'10
59,34,€3K,75,63,152lbs,€275K,18,51,53,53,46,Right,5'11
60,37,€3K,70,59,159lbs,€275K,19,58,57,68,53,Right,5'9
83,71,€130K,83,78,157lbs,€22.5M,28,85,90,83,70,Right,5'10
73,78,€20K,74,71,168lbs,€3.4M,26,73,71,79,42,Left,6'0
60,15,€1K,67,61,176lbs,€230K,20,29,9,41,54,Right,6'2
67,14,€6K,67,60,181lbs,€525K,33,20,14,35,31,Right,6'0
73,65,€7K,76,68,141lbs,€3.7M,24,63,77,58,72,Right,5'6
74,76,€9K,74,69,187lbs,€3M,31,70,69,63,68,Right,6'1
75,55,€50K,75,73,179lbs,€3.1M,28,70,72,88,66,Left,5'10
60,9,€2K,66,57,183lbs,€220K,21,13,7,28,25,Right,6'2
69,59,€7K,72,65,161lbs,€1.3M,24,70,67,75,67,Right,5'10
64,13,€3K,64,55,174lbs,€350K,30,19,14,42,51,Right,6'1
70,70,€20K,70,59,176lbs,€1.3M,29,75,71,55,58,Right,6'0
48,26,€1K,64,54,150lbs,€60K,17,43,40,54,43,Left,5'8
66,57,€2K,71,60,154lbs,€700K,24,62,63,74,39,Right,5'10
76,35,€30K,76,71,185lbs,€4.1M,28,61,56,61,48,Right,6'4
49,18,€500,64,43,176lbs,€60K,16,29,20,62,28,Right,6'2
57,34,€2K,71,60,154lbs,€200K,18,56,57,60,37,Left,5'9
56,56,€2K,67,59,146lbs,€170K,20,56,48,57,58,Right,5'10
65,58,€6K,72,56,150lbs,€725K,22,69,68,59,50,Right,5'9
76,35,€20K,80,74,150lbs,€6M,24,70,74,88,52,Right,5'9
69,32,€5K,74,70,150lbs,€1.1M,23,64,62,71,41,Left,5'10
69,29,€4K,71,68,157lbs,€1M,25,65,67,83,49,Right,5'7
67,47,€3K,81,52,137lbs,€1.6M,20,69,71,69,71,Right,5'7
64,56,€3K,67,56,159lbs,€450K,23,62,65,62,40,Left,5'10
65,26,€5K,68,62,176lbs,€525K,25,62,66,81,50,Left,6'0
79,80,€40K,92,75,150lbs,€17M,17,81,84,76,77,Right,5'10
67,38,€5K,67,63,165lbs,€475K,31,57,49,62,34,Right,6'0
62,66,€2K,70,62,150lbs,€350K,17,60,60,55,49,Right,5'10
73,65,€20K,73,70,157lbs,€2.6M,30,75,70,83,70,Right,5'5
72,73,€10K,72,81,148lbs,€1.7M,32,75,74,80,68,Right,5'8
71,35,€6K,74,78,163lbs,€1.7M,25,71,65,78,40,Right,5'11
77,42,€15K,85,71,165lbs,€9M,23,73,67,81,66,Right,5'10
66,44,€500,66,76,157lbs,€575K,24,56,48,86,42,Right,5'8
62,59,€2K,65,57,174lbs,€375K,23,61,62,37,55,Right,6'1
66,63,€4K,69,60,159lbs,€800K,24,64,66,76,63,Left,5'11
66,47,€4K,66,64,174lbs,€500K,27,68,66,71,44,Left,6'1
68,70,€4K,68,68,165lbs,€825K,30,64,60,68,60,Right,6'0
59,13,€1K,63,45,190lbs,€170K,23,18,15,35,18,Left,6'3
69,52,€5K,73,62,168lbs,€1.1M,24,67,66,74,70,Right,5'11
72,13,€9K,82,67,174lbs,€3M,21,17,19,42,28,Right,6'4
63,59,€2K,63,66,157lbs,€300K,30,64,65,73,65,Right,5'10
55,24,€2K,69,47,139lbs,€160K,19,43,54,67,40,Left,5'8
72,41,€10K,75,66,170lbs,€2.2M,24,61,56,78,66,Left,5'10
76,68,€30K,81,75,152lbs,€7M,22,75,80,68,71,Right,5'8
57,53,€1K,68,50,185lbs,€190K,19,58,48,61,45,Right,6'3
61,49,€5K,61,55,154lbs,€230K,26,59,63,64,48,Left,5'10
67,11,€3K,69,62,181lbs,€725K,26,22,12,34,35,Left,6'4
53,38,€500,53,51,159lbs,€50K,27,52,53,77,52,Left,5'9
59,57,€6K,74,54,165lbs,€275K,19,67,68,58,49,Left,5'9
54,38,€1K,67,49,150lbs,€120K,18,54,55,52,53,Right,5'8
58,26,€3K,66,52,128lbs,€170K,21,51,46,66,51,Right,5'7
60,51,€3K,60,61,154lbs,€200K,26,61,58,70,48,Right,5'10
65,64,€0,65,52,181lbs,€0,27,65,61,60,49,Right,6'2
73,64,€15K,77,65,159lbs,€3.8M,23,77,78,58,78,Left,5'8
74,30,€20K,74,74,143lbs,€2.8M,26,75,65,84,60,Right,5'9
71,63,€30K,77,62,161lbs,€2.2M,23,72,73,82,66,Left,6'1
81,75,€40K,87,79,159lbs,€20M,21,80,81,79,83,Right,5'11
76,25,€40K,76,72,168lbs,€3.1M,32,57,17,66,43,Right,6'2
72,27,€15K,78,70,181lbs,€2.5M,22,70,64,78,68,Right,6'0
72,66,€6K,77,73,137lbs,€2.4M,24,74,73,75,71,Right,5'9
67,35,€7K,67,63,159lbs,€325K,33,57,49,53,47,Right,6'0
73,65,€10K,73,75,141lbs,€2.8M,28,69,66,75,80,Right,5'8
65,54,€4K,66,66,154lbs,€600K,25,66,65,78,61,Right,5'10
68,68,€6K,72,55,183lbs,€1.2M,24,72,73,65,58,Left,5'11
70,53,€15K,70,63,176lbs,€1M,28,69,69,81,66,Right,6'0
73,57,€50K,78,69,146lbs,€3.8M,24,75,65,72,75,Left,5'10
64,46,€2K,74,63,168lbs,€625K,21,62,60,69,52,Right,5'10
65,55,€2K,69,59,152lbs,€675K,22,71,66,72,68,Right,5'9
70,56,€6K,71,67,154lbs,€1.3M,26,70,64,81,65,Right,5'10
75,68,€40K,75,72,163lbs,€3.9M,28,75,75,73,72,Right,6'0
56,13,€4K,58,49,176lbs,€100K,28,29,15,32,34,Right,6'3
76,65,€10K,76,70,165lbs,€4.3M,27,73,70,78,58,Right,5'11
74,28,€7K,79,75,183lbs,€3.9M,22,57,40,60,30,Right,6'4
67,52,€8K,67,61,159lbs,€575K,28,62,58,72,59,Right,5'8
85,15,€170K,85,82,172lbs,€28.5M,29,19,16,39,54,Right,6'1
71,5,€10K,72,56,190lbs,€1.6M,28,15,11,25,23,Right,6'2
71,17,€9K,80,66,185lbs,€2.2M,21,22,16,30,50,Right,6'4
63,25,€3K,63,50,176lbs,€210K,31,58,40,71,48,Left,5'10
54,58,€500,68,43,185lbs,€140K,18,57,56,64,42,Right,6'5
64,59,€3K,64,57,161lbs,€400K,30,55,62,70,64,Right,6'0
63,39,€2K,63,53,201lbs,€0,37,40,34,52,35,Right,6'3
69,61,€5K,74,63,154lbs,€1.3M,22,67,72,69,62,Left,5'6
64,23,€1K,68,53,174lbs,€475K,24,57,48,77,49,Right,6'1
70,72,€4K,81,70,152lbs,€2.1M,19,68,74,58,62,Right,5'7
83,11,€30K,88,79,163lbs,€27M,23,23,19,30,44,Right,6'2
76,33,€40K,81,75,141lbs,€6M,23,72,74,75,45,Right,5'9
65,44,€3K,74,60,141lbs,€825K,21,71,74,64,65,Right,5'9
72,71,€15K,77,67,150lbs,€2.9M,23,76,79,64,65,Left,5'10
73,48,€10K,76,75,126lbs,€3.6M,24,72,73,75,62,Right,5'9
63,56,€3K,72,62,146lbs,€525K,20,60,68,60,52,Right,5'5
70,24,€20K,70,62,176lbs,€950K,30,65,59,73,43,Right,6'0
84,71,€110K,85,80,130lbs,€34M,25,90,88,77,85,Right,5'4
67,77,€10K,67,63,165lbs,€825K,24,73,74,72,52,Right,6'0
69,30,€7K,70,68,174lbs,€975K,26,65,58,72,50,Right,6'2
58,23,€500,65,50,190lbs,€160K,21,50,49,60,35,Right,6'0
62,61,€3K,72,48,170lbs,€475K,21,64,63,68,43,Right,6'1
63,33,€2K,63,66,154lbs,€220K,31,44,40,74,38,Right,6'3
61,56,€0,66,53,187lbs,€0,22,59,57,64,42,Right,6'2
56,35,€1K,72,55,194lbs,€180K,18,57,52,46,48,Right,6'4
72,28,€20K,72,70,194lbs,€1.7M,28,51,39,60,28,Right,6'4
64,24,€2K,80,53,185lbs,€750K,18,60,51,62,46,Right,6'1
67,42,€2K,71,60,172lbs,€800K,24,63,51,84,64,Right,6'0
51,31,€2K,56,54,172lbs,€60K,23,45,45,58,48,Right,5'11
68,63,€10K,68,66,150lbs,€875K,26,70,68,75,50,Right,5'8
69,64,€5K,69,58,159lbs,€1M,27,70,68,70,68,Left,5'10
66,68,€3K,69,60,150lbs,€800K,24,66,73,63,53,Left,5'8
62,66,€2K,67,52,157lbs,€325K,18,63,60,52,52,Right,6'0
64,60,€3K,73,58,141lbs,€675K,21,67,65,66,55,Right,5'7
73,66,€30K,73,71,165lbs,€2.4M,26,74,74,81,73,Left,5'8
70,66,€20K,70,70,185lbs,€1.4M,27,69,68,78,58,Right,6'1
73,72,€40K,73,75,198lbs,€2.5M,31,70,64,68,73,Right,6'4
58,26,€1K,69,54,157lbs,€170K,18,40,55,60,31,Right,5'11
67,65,€20K,71,55,159lbs,€975K,23,70,68,63,56,Right,6'2
73,33,€1K,73,62,176lbs,€1.7M,32,71,45,58,45,Left,6'1
61,43,€1K,79,59,165lbs,€425K,18,62,60,55,62,Left,6'1
69,66,€7K,69,63,152lbs,€1M,26,67,70,70,64,Right,5'10
70,64,€5K,80,64,157lbs,€1.7M,19,69,68,86,70,Right,5'7
66,36,€3K,75,66,163lbs,€850K,22,53,50,77,27,Right,5'11
66,38,€2K,73,58,163lbs,€750K,23,49,57,88,50,Right,6'0
59,25,€2K,62,41,165lbs,€170K,24,46,36,70,36,Right,6'0
79,70,€120K,79,78,187lbs,€8M,28,82,72,84,74,Right,6'4
80,75,€120K,80,75,159lbs,€14.5M,26,82,80,88,75,Left,5'9
65,35,€3K,68,60,174lbs,€550K,24,60,61,81,47,Right,6'2
77,76,€50K,77,77,172lbs,€7M,29,86,85,69,73,Right,5'11
65,15,€2K,65,75,192lbs,€300K,35,14,14,39,56,Right,6'1
60,23,€500,60,59,176lbs,€150K,28,44,22,69,32,Right,6'2
53,8,€1K,71,42,203lbs,€100K,18,16,12,27,45,Left,6'4
63,63,€2K,66,50,183lbs,€425K,25,60,61,59,58,Right,6'0
67,42,€6K,72,70,174lbs,€825K,24,68,71,78,58,Left,5'9
67,43,€10K,70,67,190lbs,€775K,24,68,67,72,58,Right,5'11
65,5,€1K,78,59,172lbs,€900K,20,10,8,27,36,Right,6'0
70,70,€10K,82,64,137lbs,€2.2M,19,74,78,62,67,Left,5'8
67,44,€9K,67,67,187lbs,€525K,30,63,53,63,53,Right,6'3
70,69,€30K,70,68,157lbs,€1.4M,27,67,63,74,58,Right,6'0
66,55,€4K,79,47,150lbs,€1M,18,65,66,72,60,Right,5'11
67,41,€5K,72,60,174lbs,€825K,23,69,54,68,43,Left,6'2
64,13,€7K,72,52,181lbs,€550K,22,24,12,18,11,Left,6'3
57,56,€2K,57,56,150lbs,€100K,26,62,59,66,54,Right,5'9
54,40,€0,63,58,159lbs,€0,20,54,53,60,43,Right,5'10
61,61,€3K,68,51,194lbs,€325K,20,59,58,62,44,Right,5'11
67,74,€9K,78,63,159lbs,€1.3M,20,66,65,61,52,Right,6'1
75,62,€15K,78,78,174lbs,€5M,24,74,73,89,67,Right,6'2
59,20,€2K,71,52,172lbs,€210K,18,56,47,61,32,Left,6'2
79,75,€30K,79,77,143lbs,€10.5M,26,80,79,75,76,Right,5'9
66,59,€3K,66,66,152lbs,€425K,30,61,63,81,62,Right,5'10
64,62,€4K,77,60,159lbs,€775K,19,66,68,66,59,Right,6'0
67,35,€7K,67,69,159lbs,€550K,28,63,61,78,45,Right,5'10
76,47,€30K,76,69,159lbs,€4.3M,27,72,65,87,67,Right,6'2
66,32,€7K,66,52,163lbs,€350K,32,64,46,60,70,Right,6'2
62,33,€3K,78,60,168lbs,€475K,18,59,62,65,41,Right,5'10
56,41,€3K,65,45,137lbs,€140K,19,59,72,46,45,Left,5'7
84,49,€150K,84,76,203lbs,€22M,29,65,64,69,47,Right,6'3
66,51,€4K,72,58,154lbs,€725K,23,65,54,50,53,Left,5'9
72,13,€15K,73,67,179lbs,€2.1M,28,19,18,20,48,Right,6'3
64,31,€3K,74,62,154lbs,€700K,21,66,67,63,61,Right,5'7
67,67,€8K,67,66,172lbs,€375K,34,66,65,54,64,Right,6'0
74,42,€40K,74,71,141lbs,€2.2M,31,71,61,92,60,Right,5'7
58,64,€7K,74,50,176lbs,€275K,19,62,55,60,55,Right,6'4
63,56,€5K,63,56,126lbs,€325K,28,62,56,82,62,Right,5'8
58,38,€2K,58,55,163lbs,€110K,26,55,55,70,47,Right,5'11
68,47,€500,70,62,168lbs,€900K,24,58,48,73,46,Right,6'2
68,44,€4K,68,68,150lbs,€475K,32,68,66,64,54,Left,5'8
67,60,€3K,67,69,143lbs,€775K,26,70,69,68,58,Right,5'8
74,76,€50K,77,70,192lbs,€4.3M,25,74,70,72,59,Right,6'3
64,30,€2K,72,68,150lbs,€550K,21,57,58,62,47,Right,5'10
64,49,€3K,66,59,181lbs,€425K,25,58,53,78,58,Right,6'1
57,47,€2K,63,52,154lbs,€140K,20,52,56,70,49,Right,5'10
69,42,€4K,69,59,165lbs,€0,36,59,47,34,40,Right,5'9
50,34,€1K,63,51,165lbs,€60K,19,50,46,56,45,Right,5'10
68,14,€3K,68,67,168lbs,€700K,27,15,16,39,42,Right,6'2
56,56,€1K,66,51,143lbs,€170K,21,57,59,59,47,Right,5'6
60,55,€1K,60,61,159lbs,€90K,34,66,64,45,67,Right,5'8
73,48,€15K,74,74,170lbs,€2.8M,26,73,64,83,72,Left,6'0
53,35,€1K,67,51,154lbs,€110K,18,49,48,62,43,Right,5'11
65,66,€3K,66,65,159lbs,€500K,26,63,61,69,66,Right,5'9
80,74,€60K,83,76,181lbs,€18M,23,84,84,73,71,Right,5'11
65,28,€3K,65,63,165lbs,€375K,29,59,45,71,51,Right,6'1
75,71,€20K,82,81,139lbs,€6M,23,74,78,67,72,Right,5'7
60,35,€3K,60,47,137lbs,€140K,29,53,52,74,46,Left,5'8
71,49,€9K,71,67,154lbs,€0,37,70,71,52,69,Right,5'7
51,11,€500,69,47,170lbs,€70K,18,12,11,32,34,Right,5'11
74,77,€20K,74,68,194lbs,€3.7M,26,70,65,76,62,Right,6'2
64,58,€4K,73,63,168lbs,€650K,22,65,65,63,65,Right,5'11
66,54,€3K,74,72,170lbs,€900K,22,71,67,72,58,Right,6'2
70,65,€10K,78,66,161lbs,€2M,21,68,71,59,56,Right,5'11
61,34,€2K,68,50,163lbs,€275K,22,47,47,54,46,Right,6'0
72,72,€10K,72,69,161lbs,€1.9M,30,74,72,77,72,Right,5'10
75,62,€30K,85,71,174lbs,€6M,20,80,76,71,73,Left,6'2
56,13,€3K,65,47,163lbs,€140K,20,24,18,30,29,Right,6'0
64,59,€7K,64,65,176lbs,€425K,28,61,62,88,58,Right,6'0
66,39,€2K,73,61,168lbs,€750K,23,61,56,86,34,Right,5'9
53,24,€1K,61,46,176lbs,€80K,21,27,23,58,31,Right,6'0
75,67,€50K,75,76,174lbs,€1.2M,34,77,70,79,58,Right,6'0
63,68,€4K,76,49,183lbs,€650K,20,65,56,62,51,Right,6'4
61,62,€3K,68,56,179lbs,€325K,23,65,67,63,62,Left,6'1
79,58,€50K,79,77,161lbs,€8M,28,76,66,83,69,Right,5'11
70,28,€8K,73,70,165lbs,€1.4M,26,66,54,80,53,Right,5'11
65,59,€6K,65,61,163lbs,€500K,28,64,66,72,66,Right,5'11
67,33,€15K,67,69,150lbs,€525K,29,55,52,75,54,Left,5'8
50,6,€500,60,46,172lbs,€40K,17,13,10,19,36,Right,6'1
69,45,€4K,69,71,165lbs,€625K,33,70,66,69,65,Right,6'0
65,65,€3K,71,62,161lbs,€750K,23,59,62,68,54,Right,6'2
64,54,€1K,72,58,168lbs,€450K,18,63,61,78,55,Right,6'0
65,33,€3K,70,59,159lbs,€600K,22,61,60,74,36,Left,5'9
66,40,€3K,78,70,187lbs,€1M,21,59,34,60,64,Right,6'5
62,15,€1K,63,52,196lbs,€275K,26,23,15,25,39,Right,6'3
64,17,€4K,64,59,174lbs,€275K,31,45,45,51,42,Right,6'0
66,25,€6K,72,58,161lbs,€725K,21,63,59,61,50,Left,5'10
